Year,Status,Role,Department,Director,Manager,Supervisor,Lead,Staff,Question,Answer_Numeric,Answer_Text
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assessor-Treasurer's Office,False,False,False,False,True,01. I know what is expected of me at work.,2,Disagree
2019 May,Complete,Supervisor,Assessor-Treasurer's Office,False,False,True,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Supervisor,Assessor-Treasurer's Office,False,False,True,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Supervisor,Assessor-Treasurer's Office,False,False,True,False,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Clerk of Superior Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Supervisor,Assessor-Treasurer's Office,False,False,True,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Supervisor,Assessor-Treasurer's Office,False,False,True,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Supervisor,Assessor-Treasurer's Office,False,False,True,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Assigned Council,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Assigned Council,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Assigned Council,False,False,False,True,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Lead,Assigned Council,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Assigned Council,False,False,False,True,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Manager,Assigned Council,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,1,Strongly Disagree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,2,Disagree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Partial,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,2,Disagree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Assigned Council,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Supervisor,Assigned Council,False,False,True,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Supervisor,Assigned Council,False,False,True,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Clerk of Superior Court,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Clerk of Superior Court,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Clerk of Superior Court,False,False,False,True,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Manager,Clerk of Superior Court,False,True,False,False,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Manager,Clerk of Superior Court,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,Clerk of Superior Court,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Clerk of Superior Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Clerk of Superior Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Clerk of Superior Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Clerk of Superior Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Clerk of Superior Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Clerk of Superior Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Clerk of Superior Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Clerk of Superior Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Director,Exec Office & Directors,True,False,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Communications Office,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Communications Office,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Communications Office,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,Communications Office,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Communications Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Communications Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Communications Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Communications Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Communications Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Council's Office,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,Council's Office,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Council's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Council's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Council's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Prosecuting Attorney's Office,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,Prosecuting Attorney's Office,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,Prosecuting Attorney's Office,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Supervisor,Emergency Management,False,False,True,False,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,1,Strongly Disagree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Supervisor,Emergency Management,False,False,True,False,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Prosecuting Attorney's Office,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Supervisor,Prosecuting Attorney's Office,False,False,True,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Supervisor,Prosecuting Attorney's Office,False,False,True,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,District Court,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,District Court,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,District Court,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,District Court,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,2,Disagree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,District Court,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Supervisor,District Court,False,False,True,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Supervisor,District Court,False,False,True,False,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Supervisor,District Court,False,False,True,False,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Supervisor,District Court,False,False,True,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Director,Exec Office & Directors,True,False,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Economic Development,False,False,False,True,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Economic Development,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Supervisor,Economic Development,False,False,True,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Director,Exec Office & Directors,True,False,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,Emergency Management,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,Emergency Management,False,True,False,False,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Manager,Emergency Management,False,True,False,False,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,2,Disagree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,1,Strongly Disagree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Emergency Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Director,Exec Office & Directors,True,False,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Director,Exec Office & Directors,True,False,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Exec Office & Directors,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Director,Exec Office & Directors,True,False,False,False,False,01. I know what is expected of me at work.,0,Not Applicable
2019 May,Complete,Lead,Facilities Management,False,False,False,True,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Lead,Facilities Management,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Lead,Facilities Management,False,False,False,True,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,Facilities Management,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,Facilities Management,False,True,False,False,False,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Manager,Facilities Management,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,Facilities Management,False,True,False,False,False,01. I know what is expected of me at work.,2,Disagree
2019 May,Complete,Manager,Facilities Management,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Manager,Facilities Management,False,True,False,False,False,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,4,Strongly Agree
2019 May,Complete,Staff,Facilities Management,False,False,False,False,True,01. I know what is expected of me at work.,3,Agree
